"ncbi_id","ncbi_gs","ncbi_gs_synonyms","ncbi_name","pathway_kegg","pathway_reactome","pathway_wiki"
"54974","THG1L","ICF45;IHG-1;IHG1;SCAR28;THG1;hTHG1;THG1L","tRNA-histidine guanylyltransferase 1 like","","R-HSA-6782315",""
"55621","TRMT1","MRT68;TRM1;TRMT1","tRNA methyltransferase 1","","R-HSA-6782315",""
"55644","OSGEP","GAMOS3;GCPL1;KAE1;OSGEP1;PRSMG1;TCS3;OSGEP","O-sialoglycoprotein endopeptidase","","R-HSA-6782315",""
"57604","TRMT9B","C8orf79;KIAA1456;TRM9L;hTRM9L;TRMT9B","tRNA methyltransferase 9B (putative)","","R-HSA-6782315",""
"60487","TRMT11","C6orf75;MDS024;TRM11;TRMT11-1;TRMT11","tRNA methyltransferase 11 homolog","","R-HSA-6782315",""
"63892","THADA","ARMC13;GITA;Trm732;THADA","THADA armadillo repeat containing","","R-HSA-6782315",""
"79691","QTRT2","QTRTD1;QTRT2","queuine tRNA-ribosyltransferase accessory subunit 2","","R-HSA-6782315",""
"80324","PUS1","MLASA1;PUS1","pseudouridine synthase 1","","R-HSA-6782315;R-HSA-6787450","WP4584"
"81890","QTRT1","FP3235;TGT;TGUT;QTRT1","queuine tRNA-ribosyltransferase catalytic subunit 1","","R-HSA-6782315",""
"8270","LAGE3","CVG5;DXS9879E;DXS9951E;ESO3;GAMOS2;ITBA2;Pcc1;LAGE3","L antigen family member 3","","R-HSA-6782315",""
"83480","PUS3","2610020J05Rik;DEG1;FKSG32;MRT55;NEDMIGS;PUS3","pseudouridine synthase 3","","R-HSA-6782315",""
"91801","ALKBH8","ABH8;MRT71;TRM9;TRMT9;TRMT9A;ALKBH8","alkB homolog 8, tRNA methyltransferase","","R-HSA-6782315",""
"93587","TRMT10A","HEL-S-88;MSSGM;MSSGM1;RG9MTD2;TRM10;TRMT10A","tRNA methyltransferase 10A","","R-HSA-6782315",""
"132112","RTP1","Z3CXXC1;RTP1","receptor transporter protein 1","","R-HSA-9752946",""
"344892","RTP2","Z3CXXC2;RTP2","receptor transporter protein 2","","R-HSA-9752946",""
"65055","REEP1","C2orf23;DSMA6;HMN5B;SPG31;Yip2a;REEP1","receptor accessory protein 1","","R-HSA-9752946",""
"1800","DPEP1","MBD1;MDP;RDP;DPEP1","dipeptidase 1","","R-HSA-9664535;R-HSA-2142691;R-HSA-5423646","WP4721;WP167;WP4157;WP4518;WP5171;WP5424"
"64174","DPEP2","MBD2;DPEP2","dipeptidase 2","","R-HSA-9664535;R-HSA-2142691;R-HSA-5423646","WP5171;WP5424;WP5321"
"64180","DPEP3","MBD3;DPEP3","dipeptidase 3","","R-HSA-9664535;R-HSA-2142691;R-HSA-5423646",""
"1082","CGB3","CGB;CGB5;CGB7;CGB8;LHB;hCGB;CGB3","chorionic gonadotropin subunit beta 3","","R-HSA-209822;R-HSA-8866910",""
"93659","CGB5","CGB;HCG;hCGB;CGB5","chorionic gonadotropin subunit beta 5","","R-HSA-209822;R-HSA-8866910",""
"94115","CGB8","CGB8","chorionic gonadotropin subunit beta 8","","R-HSA-209822;R-HSA-8866910",""
"29028","ATAD2","ANCCA;CT137;PRO2000;ATAD2","ATPase family AAA domain containing 2","","R-HSA-8866910","WP2363"
"11075","STMN2","SCG10;SCGN10;STMN2","stathmin 2","","R-HSA-9696273","WP5223"
"57579","FAM135A","KIAA1411;FAM135A","family with sequence similarity 135 member A","","R-HSA-9696273",""
"94240","EPSTI1","BRESI1;EPSTI1","epithelial stromal interaction 1","","R-HSA-9696273","WP4673"
"5764","PTN","HARP;HB-GAM;HBBM;HBGF-8;HBGF8;HBNF;HBNF-1;NEGF1;OSF-1;PTN","pleiotrophin","","R-HSA-201556;R-HSA-9851151",""
"26127","FGFR1OP2","HSPC123-like;WIT3.0;FGFR1OP2","FGFR1 oncogene partner 2","","R-HSA-5655302;R-HSA-1839117",""
"9208","LRRFIP1","FLAP-1;FLAP1;FLIIAP1;GCF-2;GCF2;HUFI-1;TRIP;LRRFIP1","LRR binding FLII interacting protein 1","","R-HSA-5655302;R-HSA-1839117;R-HSA-3134973","WP5224"
"1796","DOK1","P62DOK;pp62;DOK1","docking protein 1","","R-HSA-8853659;R-HSA-8849469","WP304;WP3888"
"220164","DOK6","DOK5L;HsT3226;DOK6","docking protein 6","","R-HSA-8853659",""
"55715","DOK4","IRS-5;IRS5;DOK4","docking protein 4","","R-HSA-8853659",""
"55816","DOK5","C20orf180;IRS-6;IRS6;DOK5","docking protein 5","","R-HSA-8853659","WP2380"
"9046","DOK2","p56DOK;p56dok-2;DOK2","docking protein 2","","R-HSA-8853659;R-HSA-210993","WP437;WP395;WP3303"
"153642","ARSK","MPS10;TSULF;ARSK","arylsulfatase family member K","","R-HSA-9840310;R-HSA-1663150",""
"25870","SUMF2","pFGE;SUMF2","sulfatase modifying factor 2","","R-HSA-9840310;R-HSA-1663150",""
"340075","ARSI","ASI;SPG66;ARSI","arylsulfatase family member I","","R-HSA-9840310;R-HSA-1663150",""
"347527","ARSH","sulfatase;ARSH","arylsulfatase family member H","","R-HSA-9840310;R-HSA-1663150",""
"414","ARSD","ASD;ARSD","arylsulfatase D","","R-HSA-9840310;R-HSA-1663150","WP697"
"415","ARSL","ARSE;ASE;CDPX;CDPX1;CDPXR;ARSL","arylsulfatase L","","R-HSA-9840310;R-HSA-1663150","WP697"
"416","ARSF","ASF;ARSF","arylsulfatase F","","R-HSA-9840310;R-HSA-1663150",""
"79642","ARSJ","ASJ;ARSJ","arylsulfatase family member J","","R-HSA-9840310;R-HSA-1663150",""
"159963","SLC5A12","SMCT2;SLC5A12","solute carrier family 5 member 12","","R-HSA-427601","WP2884;WP2882"
"284129","SLC26A11","SLC26A11","solute carrier family 26 member 11","","R-HSA-427601",""
"116085","SLC22A12","OAT4L;RST;UAT;URAT1;hURAT1;SLC22A12","solute carrier family 22 member 12","","R-HSA-561048;R-HSA-5619071","WP5362"
"55867","SLC22A11","OAT4;hOAT4;SLC22A11","solute carrier family 22 member 11","","R-HSA-561048","WP4917"
"9356","SLC22A6","HOAT1;OAT1;PAHT;ROAT1;SLC22A6","solute carrier family 22 member 6","","R-HSA-561048","WP4917"
"10966","RAB40B","RAR;SEC4L;RAB40B","RAB40B, member RAS oncogene family","","R-HSA-8873719",""
"115273","RAB42","RAB42","RAB42, member RAS oncogene family","","R-HSA-8873719",""
"115827","RAB3C","RAB3C","RAB3C, member RAS oncogene family","","R-HSA-8873719",""
"142684","RAB40A","RAR2;RAR2A;RAB40A","RAB40A, member RAS oncogene family","","R-HSA-8873719",""
"25837","RAB26","V46133;RAB26","RAB26, member RAS oncogene family","","R-HSA-8873719",""
"376267","RAB15","RAB15","RAB15, member RAS oncogene family","","R-HSA-8873719",""
"401409","RAB19","RAB19B;RAB19","RAB19, member RAS oncogene family","","R-HSA-8873719",""
"51715","RAB23","HSPC137;RAB23","RAB23, member RAS oncogene family","","R-HSA-8873719","WP5234;WP4803;WP4536"
"55647","RAB20","RAB20","RAB20, member RAS oncogene family","","R-HSA-8873719",""
"57111","RAB25","CATX-8;RAB11C;RAB25","RAB25, member RAS oncogene family","","R-HSA-8873719","WP4856"
"57799","RAB40C","RARL;RASL8C;RAB40C","RAB40C, member RAS oncogene family","","R-HSA-8873719",""
"5865","RAB3B","RAB3B","RAB3B, member RAS oncogene family","","R-HSA-8873719","WP5443;WP4856"
